,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,season
147,17,2012-11-05 19:52:18,18,129,,,31,2196,4,4.5,0,6.83,0.7355,5.58,29,275.11,1,6285,4,194,4,1,2,1,,433.61,1,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,3.0,,,,0,,0,4
148,17,2012-11-05 19:52:18,18,129,,,31,3309,3,3.5,0,6.64,0.3716,4.66,2,150.99,0,6285,4,194,4,1,2,1,,434.25,1,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0,,0,4
149,17,2012-11-05 19:52:18,18,129,,,31,11331,4,4.0,0,6.89,0.7774,5.17,6,305.82,0,6285,4,194,4,1,2,1,,433.88,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,4
150,17,2012-11-05 19:52:18,18,129,,,31,17795,4,4.0,0,6.87,0.7659,5.5,25,271.27,1,6285,4,194,4,1,2,1,,433.97,1,,,,,,,,,,,,,,,,1.0,0.0,11.0,1.0,0.0,220.0,,,,0,,0,4
151,17,2012-11-05 19:52:18,18,129,,,31,21770,3,4.5,0,6.73,0.6478,5.12,14,168.91,0,6285,4,194,4,1,2,1,,433.46,1,,,,,,,,,,,,,1.0,0.0,10.0,,,,1.0,0.0,24.0,,,,0,,0,4
152,17,2012-11-05 19:52:18,18,129,,,31,23984,4,4.0,0,6.9,0.6856,5.33,10,327.58,0,6285,4,194,4,1,2,1,,433.82,1,,,,,,,,,,,,,-1.0,0.0,30.0,-1.0,0.0,30.0,1.0,0.0,148.0,,,,0,,0,4
153,17,2012-11-05 19:52:18,18,129,,,31,28503,4,4.5,0,6.87,0.6705,5.55,21,203.45,0,6285,4,194,4,1,2,1,,434.08,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
154,17,2012-11-05 19:52:18,18,129,,,31,35054,4,3.5,0,6.75,0.7072,5.52,22,310.94,0,6285,4,194,4,1,2,1,,433.56,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
155,17,2012-11-05 19:52:18,18,129,,,31,43549,3,4.0,0,6.89,0.7204,5.34,19,189.38,1,6285,4,194,4,1,2,1,,433.8,1,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0,,0,4
156,17,2012-11-05 19:52:18,18,129,,,31,45379,3,4.0,0,6.7,0.6259,5.03,30,278.95,0,6285,4,194,4,1,2,1,,433.56,1,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0,,0,4
157,17,2012-11-05 19:52:18,18,129,,,31,56046,4,4.0,0,6.69,0.6168,5.0,9,229.05,0,6285,4,194,4,1,2,1,,433.43,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,1.0,,,,,0,,0,4
158,17,2012-11-05 19:52:18,18,129,,,31,58295,4,4.5,1,6.89,0.7829999999999999,5.67,4,323.74,0,6285,4,194,4,1,2,1,,433.88,1,,,,,,,,,,,,,-1.0,0.0,15.0,-1.0,0.0,15.0,,1.0,,,,,0,,0,4
159,17,2012-11-05 19:52:18,18,129,,,31,66095,4,3.5,0,6.88,0.7731,5.23,26,235.44,1,6285,4,194,4,1,2,1,,433.96,1,,,,,,,,,,,,,,,,-1.0,0.0,9.0,,1.0,,,,,0,,0,4
160,17,2012-11-05 19:52:18,18,129,,,31,66890,4,4.0,1,6.7,0.5063,5.31,35,255.92,1,6285,4,194,4,1,2,1,,434.23,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
161,17,2012-11-05 19:52:18,18,129,,,31,73557,3,4.0,0,6.79,0.7462,5.15,7,174.02,0,6285,4,194,4,1,2,1,,433.67,1,,,,,,,,,,,,,0.0,0.0,,,,,-1.0,0.0,5.0,,,,0,,0,4
162,17,2012-11-05 19:52:18,18,129,,,31,73790,3,4.0,0,6.69,0.6081,5.15,34,197.06,0,6285,4,194,4,1,2,1,,433.42,1,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,16.0,,,,,,,0,,0,4
163,17,2012-11-05 19:52:18,18,129,,,31,78834,3,4.5,0,6.91,0.6483,5.58,12,299.42,0,6285,4,194,4,1,2,1,,433.81,1,,,,,,,,,,,,,-1.0,0.0,18.0,-1.0,0.0,18.0,-1.0,0.0,18.0,,,,0,,0,4
164,17,2012-11-05 19:52:18,18,129,,,31,82886,4,4.5,0,6.9,0.7496,5.34,3,202.18,1,6285,4,194,4,1,2,1,,433.88,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
165,17,2012-11-05 19:52:18,18,129,,,31,83594,3,4.0,0,6.76,0.7088,5.1,33,179.14,0,6285,4,194,4,1,2,1,,433.61,1,,,,,,,,,,,,,1.0,0.0,4.0,,1.0,,1.0,0.0,3.0,,,,0,,0,4
166,17,2012-11-05 19:52:18,18,129,,,31,84999,3,4.5,0,6.8,0.767,5.15,20,243.12,0,6285,4,194,4,1,2,1,,433.66,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4
167,17,2012-11-05 19:52:18,18,129,,,31,85819,3,3.0,0,6.35,0.1618,5.06,15,138.2,0,6285,4,194,4,1,2,1,,434.43,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,4
168,17,2012-11-05 19:52:18,18,129,,,31,87596,3,2.5,0,6.91,0.727,5.07,28,182.98,0,6285,4,194,4,1,2,1,,433.87,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,4
169,17,2012-11-05 19:52:18,18,129,,,31,90634,4,4.0,0,6.4,0.1864,5.54,1,185.54,1,6285,4,194,4,1,2,1,,434.46,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
170,17,2012-11-05 19:52:18,18,129,,,31,91671,3,4.0,0,6.74,0.7005,5.14,8,225.21,0,6285,4,194,4,1,2,1,,433.54,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,4
171,17,2012-11-05 19:52:18,18,129,,,31,101782,4,4.0,0,6.9,0.7543,5.7,32,231.61,1,6285,4,194,4,1,2,1,,433.87,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
172,17,2012-11-05 19:52:18,18,129,,,31,104381,4,4.0,0,6.74,0.6728,5.3,24,262.32,0,6285,4,194,4,1,2,1,,433.67,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0,,0,4
173,17,2012-11-05 19:52:18,18,129,,,31,114872,4,4.5,0,6.82,0.7505,5.73,18,225.21,0,6285,4,194,4,1,2,1,,433.61,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4
174,17,2012-11-05 19:52:18,18,129,,,31,116414,3,3.0,0,6.89,0.7614,5.22,13,165.07,0,6285,4,194,4,1,2,1,,433.92,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,4
175,17,2012-11-05 19:52:18,18,129,,,31,119357,3,4.0,0,6.88,0.7592,5.04,27,190.66,0,6285,4,194,4,1,2,1,,433.98,1,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,3.0,1.0,1.0,7.0,,,,0,,0,4
176,17,2012-11-05 19:52:18,18,129,,,31,122245,3,3.5,0,6.72,0.6225,5.12,16,221.37,0,6285,4,194,4,1,2,1,,433.69,1,,,,,,,,,,,,,-1.0,0.0,4.0,,,,,,,,,,0,,0,4
177,17,2012-11-05 19:52:18,18,129,,,31,136312,4,4.0,0,6.91,0.7394,5.49,31,301.98,0,6285,4,194,4,1,2,1,,433.89,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,4
391,40,2012-12-26 11:38:48,32,220,,,98,1795,3,4.5,0,4.37,0.1573,4.31,32,58.12,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
392,40,2012-12-26 11:38:48,32,220,,,98,2636,4,5.0,0,4.49,0.2697,4.48,30,91.32,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
393,40,2012-12-26 11:38:48,32,220,,,98,9109,4,4.0,0,4.41,0.0922,4.39,15,40.47,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
394,40,2012-12-26 11:38:48,32,220,,,98,10396,3,3.5,0,4.42,0.3606,4.36,9,64.34,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
395,40,2012-12-26 11:38:48,32,220,,,98,21090,4,4.0,0,4.37,0.3224,4.55,25,77.83,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
396,40,2012-12-26 11:38:48,32,220,,,98,25048,3,3.0,0,4.36,0.1865,3.9,3,36.32,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
397,40,2012-12-26 11:38:48,32,220,,,98,30219,4,4.0,0,4.44,0.3723,4.34,6,52.93,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
398,40,2012-12-26 11:38:48,32,220,,,98,40075,3,3.5,0,4.47,0.3945,4.09,4,28.02,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
399,40,2012-12-26 11:38:48,32,220,,,98,47442,4,4.5,0,1.95,0.0067,4.91,12,70.57,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
400,40,2012-12-26 11:38:48,32,220,,,98,47865,3,2.5,0,4.51,0.3523,4.16,18,41.51,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
401,40,2012-12-26 11:38:48,32,220,,,98,57473,4,4.0,0,4.33,0.3334,4.59,28,74.72,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
402,40,2012-12-26 11:38:48,32,220,,,98,59364,4,3.5,0,4.39,0.4086,4.25,8,56.04,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
403,40,2012-12-26 11:38:48,32,220,,,98,60476,4,4.0,1,4.41,0.3659,4.66,1,89.25,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
404,40,2012-12-26 11:38:48,32,220,,,98,61104,3,0.0,0,4.42,0.3362,4.2,24,45.66,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
405,40,2012-12-26 11:38:48,32,220,,,98,65998,3,4.0,0,4.37,0.3209,4.1,36,44.62,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
406,40,2012-12-26 11:38:48,32,220,,,98,67123,3,0.0,0,3.37,,4.25,13,28.02,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
407,40,2012-12-26 11:38:48,32,220,,,98,70867,4,4.0,1,4.26,0.1442,4.43,29,50.85,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
408,40,2012-12-26 11:38:48,32,220,,,98,79020,4,4.0,1,4.28,0.2688,4.91,34,62.27,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
409,40,2012-12-26 11:38:48,32,220,,,98,82378,3,4.0,0,4.45,0.2291,4.26,27,36.32,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
410,40,2012-12-26 11:38:48,32,220,,,98,89643,4,4.5,1,4.28,0.0782,5.05,16,75.76,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
411,40,2012-12-26 11:38:48,32,220,,,98,89845,3,3.5,0,4.06,0.0543,4.03,31,26.98,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
412,40,2012-12-26 11:38:48,32,220,,,98,91079,4,4.5,0,4.34,0.39899999999999997,4.34,19,60.19,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
413,40,2012-12-26 11:38:48,32,220,,,98,92919,4,4.0,1,4.52,0.2955,4.35,26,58.12,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
414,40,2012-12-26 11:38:48,32,220,,,98,93761,4,4.0,0,3.76,0.0863,4.6,20,66.42,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
415,40,2012-12-26 11:38:48,32,220,,,98,102933,4,0.0,1,2.3,,4.42,7,78.87,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
416,40,2012-12-26 11:38:48,32,220,,,98,105152,5,4.5,0,4.29,0.1353,4.84,33,107.93,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
417,40,2012-12-26 11:38:48,32,220,,,98,105466,4,3.5,0,4.44,0.3728,4.31,10,37.36,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
418,40,2012-12-26 11:38:48,32,220,,,98,105819,3,4.0,0,4.25,0.2625,3.99,21,33.21,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
419,40,2012-12-26 11:38:48,32,220,,,98,122082,3,3.0,0,4.42,0.3413,4.12,14,39.44,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
420,40,2012-12-26 11:38:48,32,220,,,98,127369,4,3.5,0,4.38,0.317,4.46,22,67.46,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
421,40,2012-12-26 11:38:48,32,220,,,98,131168,4,3.5,0,4.2,0.1512,4.61,35,28.02,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
422,40,2012-12-26 11:38:48,32,220,,,98,137812,3,0.0,0,3.43,,4.25,2,33.21,1,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1
817,66,2013-03-04 20:44:30,5,219,,,219,2459,3,3.5,1,2.77,,4.74,30,81.0,0,5483,1,18,2,0,1,1,-37.7935,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,2
818,66,2013-03-04 20:44:30,5,219,,,219,2746,3,5.0,1,2.71,0.1137,4.71,10,84.0,0,5483,1,18,2,0,1,1,-24.4869,,0,,,,-1.0,0.0,5.0,-1.0,0.0,5.0,,,,1.0,0.0,5.0,,,,,,,-1.0,0.0,5.0,0,,0,2
819,66,2013-03-04 20:44:30,5,219,,,219,4746,2,2.0,0,2.64,,3.99,34,35.0,0,5483,1,18,2,0,1,1,-49.5173,,0,,,,,,,,,,,,,1.0,0.0,42.0,,,,,,,1.0,0.0,42.0,0,,0,2
820,66,2013-03-04 20:44:30,5,219,,,219,12518,3,4.0,1,2.89,0.2235,4.74,4,69.0,0,5483,1,18,2,0,1,1,-20.6911,,0,,,,0.0,0.0,12.0,0.0,0.0,15.0,,,,,1.0,,,,,,,,0.0,0.0,6.0,0,,0,2
821,66,2013-03-04 20:44:30,5,219,,,219,22849,3,3.0,1,2.71,,5.08,25,79.0,0,5483,1,18,2,0,1,1,-37.8893,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,2
822,66,2013-03-04 20:44:30,5,219,,,219,24719,2,2.0,0,2.83,,4.38,33,45.0,1,5483,1,18,2,0,1,1,-54.473,,0,,,,0.0,0.0,,,1.0,,,,,-1.0,0.0,5.0,,,,,,,-1.0,0.0,5.0,0,,0,2
823,66,2013-03-04 20:44:30,5,219,,,219,26022,3,4.5,1,2.48,0.1111,4.56,36,89.0,0,5483,1,18,2,0,1,1,-31.7636,,0,,,,0.0,0.0,,-1.0,0.0,6.0,,,,,,,,,,,,,0.0,0.0,,0,,0,2
824,66,2013-03-04 20:44:30,5,219,,,219,30250,2,2.5,0,2.89,,4.38,9,70.0,0,5483,1,18,2,0,1,1,-25.1099,,0,,,,,,,1.0,0.0,13.0,,,,-1.0,0.0,49.0,,,,,,,-1.0,0.0,49.0,0,,0,2
825,66,2013-03-04 20:44:30,5,219,,,219,34900,3,4.5,1,2.77,,4.58,29,65.0,0,5483,1,18,2,0,1,1,-54.0638,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,2
826,66,2013-03-04 20:44:30,5,219,,,219,35202,3,4.5,1,2.71,,4.8,12,84.0,0,5483,1,18,2,0,1,1,-25.8023,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,1,96.39,1,2
827,66,2013-03-04 20:44:30,5,219,,,219,37697,2,3.0,1,2.64,,4.42,32,40.0,1,5483,1,18,2,0,1,1,-40.4776,,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,1.0,20.0,,,,,,,0.0,0.0,,0,,0,2
828,66,2013-03-04 20:44:30,5,219,,,219,39862,3,4.0,1,2.64,,4.75,35,79.0,0,5483,1,18,2,0,1,1,-29.7078,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,2
829,66,2013-03-04 20:44:30,5,219,,,219,40830,3,4.5,1,2.77,,4.74,26,109.0,0,5483,1,18,2,0,1,1,-52.9695,,0,,,,0.0,0.0,8.0,0.0,0.0,9.0,,,,0.0,0.0,8.0,,,,,,,0.0,0.0,8.0,0,,0,2
830,66,2013-03-04 20:44:30,5,219,,,219,46260,2,3.0,1,2.56,,4.47,38,45.0,0,5483,1,18,2,0,1,1,-31.3259,,0,,,,-1.0,0.0,6.0,-1.0,0.0,6.0,,,,0.0,0.0,,,,,,,,-1.0,0.0,6.0,0,,0,2
831,66,2013-03-04 20:44:30,5,219,,,219,46647,3,4.0,1,2.48,,4.51,24,60.0,0,5483,1,18,2,0,1,1,-41.9181,,0,,,,-1.0,0.0,16.0,1.0,0.0,8.0,,,,1.0,0.0,33.0,,,,,,,-1.0,0.0,16.0,0,,0,2
832,66,2013-03-04 20:44:30,5,219,,,219,56595,2,2.0,0,2.71,,4.12,7,45.0,0,5483,1,18,2,0,1,1,-52.1366,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,2
833,66,2013-03-04 20:44:30,5,219,,,219,58953,2,3.0,1,2.77,,4.81,27,69.0,0,5483,1,18,2,0,1,1,-29.0397,,0,,,,-1.0,0.0,6.0,-1.0,0.0,6.0,,,,,,,,,,,,,,,,0,,0,2
834,66,2013-03-04 20:44:30,5,219,,,219,58982,2,1.0,1,1.39,,4.38,19,40.0,0,5483,1,18,2,0,1,1,-51.7313,,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,2
