,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,prop_starrating|personal_difference,price_usd|personal_difference,prop_starrating|srch_id_normalized,prop_review_score|srch_id_normalized,prop_location_score1|srch_id_normalized,prop_location_score2|srch_id_normalized,price_usd|srch_id_normalized,orig_destination_distance|srch_id_normalized,prop_starrating|personal_difference|srch_id_normalized,price_usd|personal_difference|srch_id_normalized
0,8,2013-03-20 17:50:44,5,219,,,219,10250,3,3.5,1,1.39,0.0321,4.64,15,82.0,0,7082,1,0,1,0,1,0,,5.4,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.6,0.777777777778,0.442675159236,0.0,0.0829015544041,0.590522478736,,
1,8,2013-03-20 17:50:44,5,219,,,219,13252,4,4.5,1,0.0,,5.49,19,160.0,1,7082,1,0,1,0,1,0,,3.98,0,,,,,,,0.0,0.0,,,,,1.0,0.0,42.0,,,,,,,1.0,0.0,43.0,0,,0,,,0.8,1.0,0.0,,0.487046632124,0.417982989064,,
2,8,2013-03-20 17:50:44,5,219,,,219,22756,4,4.0,1,2.83,0.2251,5.11,10,259.0,0,7082,1,0,1,0,1,0,,4.41,0,,,,0.0,0.0,,-1.0,0.0,7.0,,,,0.0,0.0,7.0,,,,,,,-1.0,0.0,7.0,0,,0,,,0.8,0.888888888889,0.90127388535,0.916429249763,1.0,0.470230862697,,
3,8,2013-03-20 17:50:44,5,219,,,219,27669,3,3.5,1,3.0,0.2107,4.62,16,85.0,0,7082,1,0,1,0,1,0,,4.17,0,,,,,,,0.0,0.0,,,,,,1.0,,,,,,,,0.0,0.0,,1,96.41,1,,,0.6,0.777777777778,0.955414012739,0.848053181387,0.0984455958549,0.441069258809,,
4,8,2013-03-20 17:50:44,5,219,,,219,30630,3,4.0,1,0.0,,4.81,20,109.0,0,7082,1,0,1,0,1,0,,3.69,0,,,,1.0,0.0,4.0,-1.0,0.0,9.0,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.6,0.888888888889,0.0,,0.222797927461,0.382746051033,,
5,8,2013-03-20 17:50:44,5,219,,,219,32491,3,4.5,1,2.3,0.0516,5.18,6,199.0,0,7082,1,0,1,0,1,0,,4.45,0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,0,,0,,,0.6,1.0,0.732484076433,0.0925925925926,0.689119170984,0.475091130012,,
6,8,2013-03-20 17:50:44,5,219,,,219,33805,3,3.5,1,3.14,0.1393,4.89,13,119.0,1,7082,1,0,1,0,1,0,,3.83,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.6,0.777777777778,1.0,0.509021842355,0.274611398964,0.399756986634,,
7,8,2013-03-20 17:50:44,5,219,,,219,35397,3,4.5,1,1.39,0.1,4.82,12,119.0,1,7082,1,0,1,0,1,0,,5.07,0,,,,0.0,0.0,,1.0,0.0,25.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.6,1.0,0.442675159236,0.322412155745,0.274611398964,0.55042527339,,
8,8,2013-03-20 17:50:44,5,219,,,219,39137,2,3.5,1,1.61,0.0813,4.55,14,80.0,0,7082,1,0,1,0,1,0,,4.85,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.4,0.777777777778,0.512738853503,0.233618233618,0.0725388601036,0.523693803159,,
9,8,2013-03-20 17:50:44,5,219,,,219,41497,3,4.5,1,1.79,0.0432,5.1,1,189.0,0,7082,1,0,1,0,1,0,,1.64,0,,,,0.0,0.0,,1.0,0.0,5.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.6,1.0,0.570063694268,0.0527065527066,0.637305699482,0.133657351154,,
10,8,2013-03-20 17:50:44,5,219,,,219,54403,2,3.5,1,0.0,,4.44,22,66.0,0,7082,1,0,1,0,1,0,,8.77,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.4,0.777777777778,0.0,,0.0,1.0,,
11,8,2013-03-20 17:50:44,5,219,,,219,58176,0,0.0,0,1.79,,4.71,25,150.0,0,7082,1,0,1,0,1,0,,0.54,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,0.0,0.570063694268,,0.435233160622,0.0,,
12,8,2013-03-20 17:50:44,5,219,,,219,63511,3,4.5,1,1.39,,5.36,21,209.0,0,7082,1,0,1,0,1,0,,1.49,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,1.0,,0,,0,,,0.6,1.0,0.442675159236,,0.740932642487,0.115431348724,,
13,8,2013-03-20 17:50:44,5,219,,,219,66444,4,4.5,1,1.39,,5.34,18,239.0,0,7082,1,0,1,0,1,0,,1.41,0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,0,,0,,,0.8,1.0,0.442675159236,,0.896373056995,0.105710814095,,
14,8,2013-03-20 17:50:44,5,219,,,219,67150,4,4.5,1,2.89,0.2295,5.39,4,259.0,0,7082,1,0,1,0,1,0,,4.34,0,,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,,,,,,0.0,0.0,,0,,0,,,0.8,1.0,0.920382165605,0.937321937322,1.0,0.461725394897,,
15,8,2013-03-20 17:50:44,5,219,,,219,73738,3,4.5,1,1.39,0.0883,5.14,3,189.0,0,7082,1,0,1,0,1,0,,4.8,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.6,1.0,0.442675159236,0.26685660019,0.637305699482,0.517618469016,,
16,8,2013-03-20 17:50:44,5,219,,,219,83293,3,4.5,1,2.94,0.0731,5.12,2,239.0,0,7082,1,0,1,0,1,0,,4.05,0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,0,,0,,,0.6,1.0,0.936305732484,0.194681861349,0.896373056995,0.426488456865,,
17,8,2013-03-20 17:50:44,5,219,,,219,90151,5,4.5,0,2.56,0.1592,5.7,7,259.0,0,7082,1,0,1,0,1,0,,4.52,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,1.0,1.0,0.815286624204,0.60351377018,1.0,0.483596597813,,
18,8,2013-03-20 17:50:44,5,219,,,219,119302,3,3.5,1,1.95,,4.76,24,93.0,0,7082,1,0,1,0,1,0,,1.16,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,1.0,,0,,0,,,0.6,0.777777777778,0.62101910828,,0.139896373057,0.0753341433779,,
19,8,2013-03-20 17:50:44,5,219,,,219,125655,3,4.0,1,3.0,0.2427,4.97,9,149.0,0,7082,1,0,1,0,1,0,,4.26,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.6,0.888888888889,0.955414012739,1.0,0.430051813472,0.452004860267,,
20,8,2013-03-20 17:50:44,5,219,,,219,134607,3,4.5,1,1.79,0.0434,4.99,8,189.0,0,7082,1,0,1,0,1,0,,1.61,0,,,,-1.0,0.0,5.0,0.0,0.0,,,,,0.0,0.0,5.0,,,,,,,0.0,0.0,,0,,0,,,0.6,1.0,0.570063694268,0.0536562203229,0.637305699482,0.130012150668,,
21,11,2013-02-25 08:39:33,5,219,,,219,6492,2,4.0,1,2.3,,3.91,36,47.0,0,12610,1,39,2,0,1,1,,284.56,1,,,,1.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,12.0,0,,0,,,0.0,0.8,0.958333333333,,0.109243697479,0.715179968701,,
22,11,2013-02-25 08:39:33,5,219,,,219,8946,3,4.5,1,1.95,,5.17,19,84.0,0,12610,1,39,2,0,1,1,,288.12,1,,,,0.0,1.0,,0.0,0.0,,,,,1.0,0.0,20.0,,,,,,,0.0,0.0,,0,,0,,,0.5,0.9,0.8125,,0.420168067227,0.993740219092,,
23,11,2013-02-25 08:39:33,5,219,,,219,9952,2,3.0,1,1.61,,4.1,14,50.0,0,12610,1,39,2,0,1,1,,275.55,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,0.6,0.670833333333,,0.134453781513,0.010172143975,,
24,11,2013-02-25 08:39:33,5,219,,,219,19470,2,3.5,1,1.39,,4.37,9,60.0,0,12610,1,39,2,0,1,1,,275.42,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,0.7,0.579166666667,,0.218487394958,0.0,,
25,11,2013-02-25 08:39:33,5,219,,,219,20499,2,3.5,1,2.2,,4.11,31,45.0,0,12610,1,39,2,0,1,1,,284.67,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,1,,0,,,0.0,0.7,0.916666666667,,0.0924369747899,0.723787167449,,
26,11,2013-02-25 08:39:33,5,219,,,219,24526,3,4.0,1,0.69,0.1099,4.94,2,119.0,0,12610,1,39,2,0,1,1,,278.73,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.8,0.2875,0.208617971624,0.714285714286,0.258998435055,,
27,11,2013-02-25 08:39:33,5,219,,,219,26421,3,5.0,1,2.08,,5.07,25,89.0,0,12610,1,39,2,0,1,1,,287.79,1,,,,,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,1.0,0.866666666667,,0.46218487395,0.967918622848,,
28,11,2013-02-25 08:39:33,5,219,,,219,27675,3,4.5,1,1.1,0.1626,4.7,7,85.0,0,12610,1,39,2,0,1,1,,279.74,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.9,0.458333333333,0.485549132948,0.428571428571,0.338028169014,,
29,11,2013-02-25 08:39:33,5,219,,,219,28364,3,4.5,1,1.61,0.2046,4.73,3,79.0,0,12610,1,39,2,0,1,1,,280.57,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.9,0.670833333333,0.706253284288,0.378151260504,0.402973395931,,
30,11,2013-02-25 08:39:33,5,219,,,219,33980,3,5.0,1,1.1,,5.03,13,98.0,0,12610,1,39,2,0,1,1,,283.87,1,,,,,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,1.0,0.458333333333,,0.53781512605,0.661189358372,,
31,11,2013-02-25 08:39:33,5,219,,,219,35021,3,4.0,1,2.08,,4.99,26,153.0,0,12610,1,39,2,0,1,1,,287.83,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.8,0.866666666667,,1.0,0.971048513302,,
32,11,2013-02-25 08:39:33,5,219,,,219,38443,3,4.0,1,2.4,,4.58,18,60.0,0,12610,1,39,2,0,1,1,,284.42,1,,,,-1.0,0.0,10.0,-1.0,1.0,10.0,,,,,,,,,,,,,-1.0,0.0,10.0,0,,0,,,0.5,0.8,1.0,,0.218487394958,0.704225352113,,
33,11,2013-02-25 08:39:33,5,219,,,219,47116,3,4.5,1,2.08,,4.95,22,84.0,0,12610,1,39,2,0,1,1,,287.82,1,,,,0.0,0.0,11.0,0.0,0.0,11.0,,,,,,,,,,,,,0.0,0.0,11.0,0,,0,,,0.5,0.9,0.866666666667,,0.420168067227,0.970266040689,,
34,11,2013-02-25 08:39:33,5,219,,,219,59898,3,0.0,1,2.08,,4.84,32,76.0,0,12610,1,39,2,0,1,1,,288.1,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.0,0.866666666667,,0.352941176471,0.992175273865,,
35,11,2013-02-25 08:39:33,5,219,,,219,63095,2,3.5,1,1.61,,4.92,33,65.0,0,12610,1,39,2,0,1,1,,287.66,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.0,0.7,0.670833333333,,0.260504201681,0.957746478873,,
36,11,2013-02-25 08:39:33,5,219,,,219,69993,2,2.5,1,2.2,,4.22,27,34.0,0,12610,1,39,2,0,1,1,,284.47,1,,,,0.0,-1.0,,0.0,-1.0,,,,,1.0,-1.0,17.0,,,,,,,0.0,-1.0,,0,,0,,,0.0,0.5,0.916666666667,,0.0,0.70813771518,,
37,11,2013-02-25 08:39:33,5,219,,,219,73511,3,5.0,1,0.0,,4.91,29,75.0,0,12610,1,39,2,0,1,1,,287.02,1,,,,0.0,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,1.0,0.0,,0.344537815126,0.907668231612,,
38,11,2013-02-25 08:39:33,5,219,,,219,74499,3,4.5,1,0.69,0.1555,4.68,8,74.0,0,12610,1,39,2,0,1,1,,279.07,1,,,,,,,1.0,0.0,20.0,,,,1.0,0.0,20.0,,,,,,,1.0,0.0,20.0,0,,0,,,0.5,0.9,0.2875,0.44823962165,0.336134453782,0.285602503912,,
39,11,2013-02-25 08:39:33,5,219,,,219,75743,3,4.5,1,0.0,,4.88,24,93.0,0,12610,1,39,2,0,1,1,,276.98,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.5,0.9,0.0,,0.495798319328,0.1220657277,,
40,11,2013-02-25 08:39:33,5,219,,,219,78768,3,5.0,1,2.08,,4.95,12,93.0,0,12610,1,39,2,0,1,1,,287.89,1,,,,,,,-1.0,0.0,9.0,,,,-1.0,0.0,9.0,,,,,,,-1.0,0.0,9.0,0,,0,,,0.5,1.0,0.866666666667,,0.495798319328,0.975743348983,,
41,11,2013-02-25 08:39:33,5,219,,,219,80764,2,3.5,1,1.79,,3.87,21,60.0,0,12610,1,39,2,0,1,1,,283.89,1,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,-1.0,0.0,10.0,0,,0,,,0.0,0.7,0.745833333333,,0.218487394958,0.662754303599,,
42,11,2013-02-25 08:39:33,5,219,,,219,83769,4,4.5,1,2.08,,5.24,37,123.0,0,12610,1,39,2,0,1,1,,288.09,1,,,,,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,-1.0,0.0,7.0,0,,0,,,1.0,0.9,0.866666666667,,0.747899159664,0.991392801252,,
43,11,2013-02-25 08:39:33,5,219,,,219,85264,2,3.0,1,1.95,,4.31,30,70.0,0,12610,1,39,2,0,1,1,,285.8,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.0,0.6,0.8125,,0.302521008403,0.81220657277,,
44,11,2013-02-25 08:39:33,5,219,,,219,86294,2,3.0,1,2.2,,4.01,28,51.0,0,12610,1,39,2,0,1,1,,284.72,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.0,0.6,0.916666666667,,0.142857142857,0.727699530516,,
45,11,2013-02-25 08:39:33,5,219,,,219,93949,3,4.0,0,1.61,,4.64,35,74.0,0,12610,1,39,2,0,1,1,,287.04,1,,,,0.0,0.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,-1.0,0.0,10.0,0,,0,,,0.5,0.8,0.670833333333,,0.336134453782,0.909233176839,,
46,11,2013-02-25 08:39:33,5,219,,,219,95615,3,4.5,0,1.39,0.0702,4.64,6,80.0,0,12610,1,39,2,0,1,1,,280.76,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.9,0.579166666667,0.0,0.386554621849,0.417840375587,,
47,11,2013-02-25 08:39:33,5,219,,,219,100969,4,4.5,0,1.39,,4.98,16,89.0,1,12610,1,39,2,0,1,1,,287.77,1,,,,1.0,0.0,25.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,25.0,0,,0,,,1.0,0.9,0.579166666667,,0.46218487395,0.966353677621,,
48,11,2013-02-25 08:39:33,5,219,,,219,102705,3,5.0,1,1.39,0.2323,4.86,4,87.0,0,12610,1,39,2,0,1,1,,280.41,1,,,,,1.0,,0.0,0.0,,,,,1.0,0.0,9.0,,,,,,,0.0,0.0,,0,,0,,,0.5,1.0,0.579166666667,0.851812926957,0.445378151261,0.390453834116,,
49,11,2013-02-25 08:39:33,5,219,,,219,114096,3,4.0,1,1.61,,4.98,34,62.0,0,12610,1,39,2,0,1,1,,288.2,1,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,107.0,,,,,,,0.0,0.0,,0,,0,,,0.5,0.8,0.670833333333,,0.235294117647,1.0,,
50,11,2013-02-25 08:39:33,5,219,,,219,122888,3,4.5,1,1.1,0.2605,4.89,1,71.0,0,12610,1,39,2,0,1,1,,281.08,1,,,,0.0,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.9,0.458333333333,1.0,0.310924369748,0.442879499218,,
51,11,2013-02-25 08:39:33,5,219,,,219,124104,3,4.0,1,1.1,,4.64,10,85.0,0,12610,1,39,2,0,1,1,,275.81,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.5,0.8,0.458333333333,,0.428571428571,0.0305164319249,,
52,11,2013-02-25 08:39:33,5,219,,,219,134563,3,4.0,1,2.2,,4.73,20,73.0,0,12610,1,39,2,0,1,1,,284.5,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.8,0.916666666667,,0.327731092437,0.71048513302,,
53,11,2013-02-25 08:39:33,5,219,,,219,136184,3,4.0,0,2.2,,4.59,15,81.0,0,12610,1,39,2,0,1,1,,284.78,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,,,0.5,0.8,0.916666666667,,0.394957983193,0.732394366197,,
54,17,2012-11-05 19:52:18,18,129,,,31,2196,4,4.5,0,6.83,0.7355,5.58,29,275.11,1,6285,4,194,4,1,2,1,,433.61,1,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,3.0,,,,0,,0,,,1.0,1.0,0.857142857143,0.923535093368,0.722938008237,0.182692307692,,
55,17,2012-11-05 19:52:18,18,129,,,31,3309,3,3.5,0,6.64,0.3716,4.66,2,150.99,0,6285,4,194,4,1,2,1,,434.25,1,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0,,0,,,0.0,0.5,0.517857142857,0.337733419189,0.0675361706622,0.798076923077,,
56,17,2012-11-05 19:52:18,18,129,,,31,11331,4,4.0,0,6.89,0.7774,5.17,6,305.82,0,6285,4,194,4,1,2,1,,433.88,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,,,1.0,0.75,0.964285714286,0.990985189955,0.885098743268,0.442307692308,,
57,17,2012-11-05 19:52:18,18,129,,,31,17795,4,4.0,0,6.87,0.7659,5.5,25,271.27,1,6285,4,194,4,1,2,1,,433.97,1,,,,,,,,,,,,,,,,1.0,0.0,11.0,1.0,0.0,220.0,,,,0,,0,,,1.0,0.75,0.928571428571,0.972472633612,0.702661315873,0.528846153846,,
58,17,2012-11-05 19:52:18,18,129,,,31,21770,3,4.5,0,6.73,0.6478,5.12,14,168.91,0,6285,4,194,4,1,2,1,,433.46,1,,,,,,,,,,,,,1.0,0.0,10.0,,,,1.0,0.0,24.0,,,,0,,0,,,0.0,1.0,0.678571428571,0.782356728912,0.16216073503,0.0384615384615,,
